Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
;;01.01.001 Штанга D16*0,7*3000mm В класс;Трубы и штангодержатели;1739;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 16.jpg"" src=""/upload/medialibrary/7ca/7cafbd360d9ccdd25431cbdd219bb95f.jpg"" height=""144"" title=""01,01,001 16.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/48c/xs38dhyrqkeysrj98iwfc103dawheu90/c486147c-0adb-11e7-dd8c-001517eeea50_4028326c-7c7d-11e9-428b-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;FZ2505  Соединение для труб (4трубы) угловое;Трубы и штангодержатели;577;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>FZ2505&nbsp;&nbsp;Соединение для труб (4трубы) угловое</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/382/eleq224rvaeos4f9mvrggr7cfz5b7ju8/ff0abdfb-be4c-11e0-e68b-63678bc3e199_4f58e005-6779-11e1-c19f-37b0f0dfb579.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.068 Флянец 50 мм хром;Трубы и штангодержатели;575;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""261"" alt=""01.01.043 50.jpg"" src=""/upload/medialibrary/4aa/4aaa590e316ac425265da41aadaf8f69.jpg"" height=""165"" title=""01.01.043 50.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/c44/c44847644e909b55f75e856444f73387.png;;;;;;;;;;;;;;;;;;;
;;01А.03.049.1 Заглушка для труб D25мм;Трубы и штангодержатели;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/18c/oi5z4v17cx0thzi0t9umnep4dbq5dfvf/7ce33f50-2ef9-11eb-5780-000c29c4160b_9aa44546-66a4-11eb-db8c-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;M-4007 Штангодержатель универсальный прозрачный;Трубы и штангодержатели;92;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""1000"" alt=""M-4007.jpg"" src=""/upload/medialibrary/c57/c570f21942fe5c55abb9b641c9fa6a8e.jpg"" height=""520"" title=""M-4007.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/bb1/bb17fb412b2f6fef8026ce1693717e17.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.01.018 Штангодержатель овальный;Трубы и штангодержатели;17;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""350"" alt=""MIL412102.jpg"" src=""/upload/medialibrary/765/7651f43595a87f6c4bb4e644c0ed675f.jpg"" height=""338"" title=""MIL412102.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/769/5jln92mkuddt2e6e3noybl39k7xopwai/d9ff73c7-a777-11e4-7381-001517eeea50_d626e68a-c96b-11e4-478c-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;MIL412109,001 Штангодержатель овальный  гладкий сквозной;Трубы и штангодержатели;185;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""500"" alt=""MIL412109.jpg"" src=""/upload/medialibrary/189/18905fc06c7ea8c62e63e85f08a3cda1.jpg"" height=""472"" title=""MIL412109.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/9ba/1828neydl0whltycym9lok4laivr1g0r.jpeg;;;;;;;;;;;;;;;;;;;
;;M-4005 Штангодержатель овальный прозрачный;Трубы и штангодержатели;48;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""800"" alt=""M-4005.jpg"" src=""/upload/medialibrary/2e4/2e457a8bfa0ddf65413feeee9b54588d.jpg"" height=""416"" title=""M-4005.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/068/068fed764de1b8e34c19ec7e0279d759.jpeg;;;;;;;;;;;;;;;;;;;
;;Вешало штанга 2800 мм белый;Трубы и штангодержатели;1617;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""Вешало штанга.jpg"" src=""/upload/medialibrary/1e7/1e795d4cb50ccc321016e5ad93c49d12.jpg"" height=""253"" title=""Вешало штанга.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0d2/oy4c5bvsctnwu14m2yy502963edtd34g/e03fac08-aea7-11e9-3e9d-001517eeea50_5828d1e1-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;Штанга D25  Хром  0.6*1000 mm;Трубы и штангодержатели;725;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0df/uor9q8y0fkyeujgzot3nbkw3mefvm5a9.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.060 Флянец 25мм хром;Трубы и штангодержатели;532;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""261"" alt=""01.01.043 25.jpg"" src=""/upload/medialibrary/344/34479f09a59183474bf90fea72a0b26f.jpg"" height=""165"" title=""01.01.043 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/c5f/c5fb9c3ba7ba9d4c5a8550922e20c84b.png;;;;;;;;;;;;;;;;;;;
;;Вешало штанга 2800 мм метал.серебристый;Трубы и штангодержатели;1693;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""Вешало штанга.jpg"" src=""/upload/medialibrary/1e7/1e795d4cb50ccc321016e5ad93c49d12.jpg"" height=""253"" title=""Вешало штанга.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/567/as3c7r0i4j5w3td5yg4wal7j2cnewx26/e03fac11-aea7-11e9-3e9d-001517eeea50_5828d1e2-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.081 Соединение для труб 25мм*25мм;Трубы и штангодержатели;690;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>01А.02.081 Соединение для труб 25мм*25мм</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/352/87i9a63na2ugu87i4ng18vcofj8pfayw/429d2f8f-ba9d-11e5-aa9d-001517eeea50_56c18252-d538-11e5-5183-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.01.043 Флянец D50 мм  хром с винтом;Трубы и штангодержатели;200;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""261"" alt=""01.01.043 50.jpg"" src=""/upload/medialibrary/4aa/4aaa590e316ac425265da41aadaf8f69.jpg"" height=""165"" title=""01.01.043 50.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/27f/9ky1f8bjd10fjjd9k77ocf2267xfxuki/77f4f6fa-8ce8-11e4-508c-001517eeea50_2723b763-0839-11e5-f59b-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;Штанга D25  Хром  0.6*1200 mm;Трубы и штангодержатели;711;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0df/uor9q8y0fkyeujgzot3nbkw3mefvm5a9.jpeg;;;;;;;;;;;;;;;;;;;
;;MIL424905.001 Крепление для трубы D16;Трубы и штангодержатели;354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""24905.jpg"" src=""/upload/medialibrary/9bd/9bd6737e67b92fa960aa2f9301a3a4ca.jpg"" height=""613"" title=""24905.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/f90/2mxav7ddlhxn4xrkxcsreuynb93bn0tz/5700017c-ec11-11ea-518d-000c29c4160b_51ba89be-69c3-11eb-dd8c-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;01.01.002  Турникет 30*15*0.6*3000mm;Трубы и штангодержатели;1350;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""227"" alt=""01.01.002.jpg"" src=""/upload/medialibrary/829/82988569103641a8eb12adcf496f66fd.jpg"" height=""137"" title=""01.01.002.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/d33/arfxmxa0oadvzttklb8160mtb98rq386.jpeg;;;;;;;;;;;;;;;;;;;
;;01.01.003 Мебельная труба  20*20*1*3000mm;Трубы и штангодержатели;2332;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""380"" alt=""01.01.003 20.jpg"" src=""/upload/medialibrary/c3c/c3c5b36cebcccb961749f7f52c8b4696.jpg"" height=""201"" title=""01.01.003 20.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/6e1/qamcby3eirc9y4si1agtrt1bf1epzj40.jpeg;;;;;;;;;;;;;;;;;;;
;;MIL412110.001 Штангодержатель овальный  гладкий глухой;Трубы и штангодержатели;205;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""500"" alt=""MIL412110.jpg"" src=""/upload/medialibrary/cfd/cfdfc3131d654a479572f3a449c16722.jpg"" height=""470"" title=""MIL412110.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/6de/8sn5vy4wvd8gaey8k3uasvwx31zs7lu6/bc5fb0be-1629-11e8-f48f-001517eeea50_e156181b-46b5-11e8-ee95-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;Штанга D25  Хром  0.6*900 mm;Трубы и штангодержатели;586;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0df/uor9q8y0fkyeujgzot3nbkw3mefvm5a9.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.01.043-2 Флянец D25 мм  хром с винтом;Трубы и штангодержатели;64;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""261"" alt=""01.01.043 25.jpg"" src=""/upload/medialibrary/344/34479f09a59183474bf90fea72a0b26f.jpg"" height=""165"" title=""01.01.043 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/30f/40pa7j9cm6x1mn2icom6m8d3dkzmd3hc/77f4f6f1-8ce8-11e4-508c-001517eeea50_9c8a3ffe-b734-11e4-6e86-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.03.047 Соединение для труб хром;Трубы и штангодержатели;103;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""350"" alt=""60901.jpg"" src=""/upload/medialibrary/ebc/ebc15357ff104b1d09bc4694be997f46.jpg"" height=""278"" title=""60901.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/03d/kcir51gn2rcax8o1agcqtwkloysnquo2.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.01.043B Флянец D25 мм  хром с винтом;Трубы и штангодержатели;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<br><br><img width=""261"" alt=""01.01.043 25.jpg"" src=""/upload/medialibrary/344/34479f09a59183474bf90fea72a0b26f.jpg"" height=""165"" title=""01.01.043 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/30f/40pa7j9cm6x1mn2icom6m8d3dkzmd3hc/77f4f6f1-8ce8-11e4-508c-001517eeea50_9c8a3ffe-b734-11e4-6e86-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01.01.001 Штанга D25*0,6*3000mm В класс;Трубы и штангодержатели;1820;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0df/uor9q8y0fkyeujgzot3nbkw3mefvm5a9.jpeg;;;;;;;;;;;;;;;;;;;
;;01.01.003  Мебельная труба 25*25*1*3000mm;Трубы и штангодержатели;4347;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""380"" alt=""01.01.003 25.jpg"" src=""/upload/medialibrary/21a/21a414a8ad4b140f9d33b39085938011.jpg"" height=""201"" title=""01.01.003 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/6e1/qamcby3eirc9y4si1agtrt1bf1epzj40.jpeg;;;;;;;;;;;;;;;;;;;
;;MIL412102,001 Штангодержатель овальный  гладкий;Трубы и штангодержатели;41;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""MIL412102.jpg"" src=""/upload/medialibrary/765/7651f43595a87f6c4bb4e644c0ed675f.jpg"" height=""386"" title=""MIL412102.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/733/yns4ptcdw9leexz08ly6uodxky2x3ud7/3c1cc86c-1332-11e0-af8b-001517eeea50_e7f07438-aba6-11e0-b38a-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01.01.001 Штанга D25*0,7*3000mm А класс;Трубы и штангодержатели;1980;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/a1d/antc7ngrm5tvmhg5t423p4mnvxif4dwb.jpeg;;;;;;;;;;;;;;;;;;;
;;60173,125 Крепление для трубы D25 глухое;Трубы и штангодержатели;734;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""60173.jpg"" src=""/upload/medialibrary/f54/f540fb900f31d6e2527b62dbde3691b4.jpg"" height=""479"" title=""60173.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/7f4/an8d24tvgu53t7632zxye5x7qc1ci3bm/93d1dd20-480d-11e1-d99e-6b5a3caa9544_90125483-351d-11e2-9e94-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;60124,001 Система Joker D25;Трубы и штангодержатели;473;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>60124,001 Система Joker D25</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/535/8v450fgrofpqj2wquxl7j812pt5ru6l7/9d7faeb8-1336-11e0-af8b-001517eeea50_e9c8260e-acfd-11e0-6a96-57ebb1d7d858.jpeg;;;;;;;;;;;;;;;;;;;
;;3095 Уголок одинарный Крем;Крепежная фурнитура;12;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""3095.jpg"" src=""/upload/medialibrary/26e/26e26852f9c7d04aac83c0e2b4f7dff1.jpg"" height=""268"" title=""3095.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/705/9g9m8iue9sckv1gsjqdn1mnzejp6txxf/63737eaa-1743-11ea-6987-000c29c4160b_60be0d41-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;S-24  Уголок металлический 15х27х27 mm;Крепежная фурнитура;26;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""354"" alt=""S-24.jpg"" src=""/upload/medialibrary/d01/d01b40f4564540c7ca52e8eb64e056ed.jpg"" height=""520"" title=""S-24.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/820/3je7v81q3nf6g0412l9reo3nbsxx13cz.jpeg;;;;;;;;;;;;;;;;;;;
;;3095 Уголок одинарный Вишня;Крепежная фурнитура;12;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""3095.jpg"" src=""/upload/medialibrary/26e/26e26852f9c7d04aac83c0e2b4f7dff1.jpg"" height=""268"" title=""3095.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/bba/tf5dwv4safjtgfv35pzxopx6zyki9uiq/63737eac-1743-11ea-6987-000c29c4160b_60be0d40-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;3095 Уголок одинарный Венге;Крепежная фурнитура;12;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""3095.jpg"" src=""/upload/medialibrary/26e/26e26852f9c7d04aac83c0e2b4f7dff1.jpg"" height=""268"" title=""3095.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/dd2/eo1pdzfsdeafmitbc0e4somfgx59sfb8/63737ea3-1743-11ea-6987-000c29c4160b_60be0d3f-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;M-1009 Уголок L-образный 1,5 Крем;Крепежная фурнитура;79;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""1000"" alt=""M-1009.jpg"" src=""/upload/medialibrary/7cd/7cd51f2078dbf9b1c7f73d14ace57ca6.jpg"" height=""520"" title=""M-1009.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/87d/752l3m1f47b38zaglatr1wia7clls44g/fc3a8309-2531-11ea-0d8b-000c29c4160b_966bca23-c7dc-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;M-1006 Уголок L-образный 1,2 Светло-бежевый;Крепежная фурнитура;51;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""1000"" alt=""M-1006.jpg"" src=""/upload/medialibrary/6c1/6c129e1eb2ffecd21adde1eabb09536f.jpg"" height=""520"" title=""M-1006.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/77d/r3irfn12tnj9c14w5u0808yqp6iuji3r/fc3a82ef-2531-11ea-0d8b-000c29c4160b_966bca17-c7dc-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;M-1006 Уголок L-образный 1,2 Бук;Крепежная фурнитура;51;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""1000"" alt=""M-1006.jpg"" src=""/upload/medialibrary/6c1/6c129e1eb2ffecd21adde1eabb09536f.jpg"" height=""520"" title=""M-1006.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/cd7/vkz0k6thi2kmn0ko1niiy4xtwq2yysu3/fc3a82ed-2531-11ea-0d8b-000c29c4160b_661f3793-c740-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;Уголок крепёжный №1 Белый;Крепежная фурнитура;8;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;<p>Уголок крепёжный №1 Белый</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/59d/1ny31ft5tq2eqy3rxpph0cipk4u5v3vi.jpeg;;;;;;;;;;;;;;;;;;;
;;А-127 (3091) Уголок двойной 04 коричневый;Крепежная фурнитура;15;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""А-127.jpg"" src=""/upload/medialibrary/038/03872774fc3eb6eb893e95d98365bb37.jpg"" height=""280"" title=""А-127.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/ef0/d2an3rtmve8ozck0881u6i4dv7sh1r05/d14e69be-1752-11ea-6987-000c29c4160b_60be0d2d-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;S-663 (463) Пластина №13  60х100 mm;Крепежная фурнитура;168;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<p>S-663 (463) Пластина №13&nbsp;&nbsp;60х100 mm</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/7bf/ldikf65b50hhdjhubsseubxldkexgjb6/671812a3-bef8-11df-a03f-00248c9ebc32_13ef7ea0-c86c-11df-8663-00248c9ebc32.jpeg;;;;;;;;;;;;;;;;;;;
;;Уголок мебельный 16х20х1,2 Бежевый;Крепежная фурнитура;17;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""310"" alt=""Уголок мебельный 16х20.jpg"" src=""/upload/medialibrary/d95/d95e155980f8bb55c6ef9e9b3248a4da.jpg"" height=""236"" title=""Уголок мебельный 16х20.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/3f8/8zehzdtfjc70bq94okd1lqgsy4r8xxw3/61c459de-6746-11ea-6d85-000c29c4160b_5711f96f-abce-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;Уголок мебельный 16х20х1,2 Коричневый;Крепежная фурнитура;17;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""310"" alt=""Уголок мебельный 16х20.jpg"" src=""/upload/medialibrary/d95/d95e155980f8bb55c6ef9e9b3248a4da.jpg"" height=""236"" title=""Уголок мебельный 16х20.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/bb9/3k93xc5sjnlz1zzq70khoqa2hy1r21jn/61c459dc-6746-11ea-6d85-000c29c4160b_5711f971-abce-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;TSL12  Уголок L- образный  Коричневый;Крепежная фурнитура;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""SL-25х25.jpg"" src=""/upload/medialibrary/0b6/0b6a6ba5c9bc5bb5531d5cea429431b8.jpg"" height=""398"" title=""SL-25х25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/ba6/428vs6amelevxnc8dft3083pmsm2gzjx/c4d0158e-26d2-11ea-0d8b-000c29c4160b_966bca2a-c7dc-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;M-1006 Уголок L-образный 1,2 Тёмно-бежевый;Крепежная фурнитура;51;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""1000"" alt=""M-1006.jpg"" src=""/upload/medialibrary/6c1/6c129e1eb2ffecd21adde1eabb09536f.jpg"" height=""520"" title=""M-1006.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/00d/r2poblk5mzvffpjzc523wgp6ksi3ycfb/fc3a82f1-2531-11ea-0d8b-000c29c4160b_966bca18-c7dc-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;S-002  Уголок;Крепежная фурнитура;31;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""S-002.jpg"" src=""/upload/medialibrary/3c8/3c87834895088401625e9472225058bf.jpg"" height=""400"" title=""S-002.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/c9a/hasqbh6o1mwvvhvphovwra193w39cwnt/bca9112e-beef-11df-a03f-00248c9ebc32_ed80e47b-c7ba-11df-bd13-00248c9ebc32.jpeg;;;;;;;;;;;;;;;;;;;
;;3095 Уголок одинарный серый;Крепежная фурнитура;12;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""3095.jpg"" src=""/upload/medialibrary/26e/26e26852f9c7d04aac83c0e2b4f7dff1.jpg"" height=""268"" title=""3095.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/8e6/93ic7zoq5l6frkuea6zehpz6xxz8zh0p/63737eae-1743-11ea-6987-000c29c4160b_60be0d42-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;3088 Уголок L-образный 1,2 мм черный;Крепежная фурнитура;44;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""310"" alt=""3088.jpg"" src=""/upload/medialibrary/fab/fabfae7d9c8cd66ac6dc52706ebb94f4.jpg"" height=""236"" title=""3088.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/9b9/05p1g06exhw8ltnbp2tnrgv6k1nj050i/63737e98-1743-11ea-6987-000c29c4160b_0446794a-36ae-11ea-ba89-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;3095 Уголок одинарный черный;Крепежная фурнитура;12;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""3095.jpg"" src=""/upload/medialibrary/26e/26e26852f9c7d04aac83c0e2b4f7dff1.jpg"" height=""268"" title=""3095.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/b86/12kgiyixex3cwqzepgjlljx59ahlh0ot/63737eb4-1743-11ea-6987-000c29c4160b_60be0d43-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;А-127 (3091) Уголок двойной 03 бежевый;Крепежная фурнитура;15;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""А-127.jpg"" src=""/upload/medialibrary/038/03872774fc3eb6eb893e95d98365bb37.jpg"" height=""280"" title=""А-127.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/404/gy0ijlmsh7ukq0xvsy0fb84znpm1j73s/d14e6a53-1752-11ea-6987-000c29c4160b_60be0d2c-de0a-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;S-406 (605) Уголок №5  18х45х45 mm;Крепежная фурнитура;55;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""322"" alt=""S-406.jpg"" src=""/upload/medialibrary/5c4/5c49d40adecc1a5e33659364f7246a63.jpg"" height=""520"" title=""S-406.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/0d3/gzy570yv3n507zyiina6autppz4zh2ih/7580ea01-bef5-11df-a03f-00248c9ebc32_33ebb641-e252-11df-aedf-00248c9ebc32.jpeg;;;;;;;;;;;;;;;;;;;
